所屬區域,區域編號,早九可借車數,早九空柱數量,早九借車人數,早九還車人數,晚五可借車數,晚五空柱數量,晚五借車人數,晚五還車人數
捷運公館站周邊,1,7,37,86,67,8,37,24,106
水源校區,2,9,15,1,0,4,19,0,10
管院區,3,10,3,0,11,10,3,4,26
小小福與共同周邊,4,11,4.8,5,11,8.2,7.6,23,7
椰林大道前段及女五周邊,5,4,10,9,8,4,10,6,0
傅鐘與行政大樓周邊,6,5,5,3,0,7,3,4,7
總圖周邊,7,4,16,0,11,18,2,9,0
男宿區,8,3,29,44,8,4,29,22,22
工綜、博理館與獸醫系館周邊,9,16,4,0,24,17,3,23,0
社科法律系館周邊,10,13,13,8,52,19,8,54,10
新生及計中周邊,11,15,5,0,16,15,5,5,9
舊體、博雅、普通,12,7,25,6,20,11,21,6,0
新體區,13,14,15,0,7,16,12,2,0
捷運科技大樓站,14,13,3,10,1,2,14,3,5
捷運台電大樓站,15,3,14,7,0,3,14,0,0
溫州街及新生南校門,16,8,9,9,0,4,13,6,11